titulo,catalogo,sjr,q,h_index,total_citas,url_revista,pais,area,publisher,issn,widget
IEEE Transactions on Artificial Intelligence,journal,1.771,Q1,19,1075,https://www.scimagojr.com/journalsearch.php?q=21101093601&tip=sid&clean=0,"United States,banderas/us.png?v=1.2","{'Computer Science': ['Artificial Intelligence', 'Computer Science Applications']}",Institute of Electrical and Electronics Engineers Inc.,26914581,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21101093601&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21101093601"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Nonlinear Analysis: Hybrid Systems,journal,1.760,Q1,68,1320,https://www.scimagojr.com/journalsearch.php?q=9000153105&tip=sid&clean=0,"Netherlands,banderas/nl.png?v=1.2","{'Computer Science': ['Computer Science Applications'], 'Engineering': ['Control and Systems Engineering'], 'Mathematics': ['Analysis']}",Elsevier B.V.,1751570X,"<a href=""https://www.scimagojr.com/journalsearch.php?q=9000153105&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=9000153105"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Journal of Cheminformatics,journal,1.745,Q1,83,2433,https://www.scimagojr.com/journalsearch.php?q=19600157322&tip=sid&clean=0,"United Kingdom,banderas/gb.png?v=1.2","{'Chemistry': ['Physical and Theoretical Chemistry'], 'Computer Science': ['Computer Graphics and Computer-Aided Design', 'Computer Science Applications'], 'Social Sciences': ['Library and Information Sciences']}",Chemistry Central,17582946,"<a href=""https://www.scimagojr.com/journalsearch.php?q=19600157322&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=19600157322"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Computers and Electronics in Agriculture,journal,1.735,Q1,168,21572,https://www.scimagojr.com/journalsearch.php?q=30441&tip=sid&clean=0,"Netherlands,banderas/nl.png?v=1.2","{'Agricultural and Biological Sciences': ['Agronomy and Crop Science', 'Animal Science and Zoology', 'Forestry', 'Horticulture'], 'Computer Science': ['Computer Science Applications']}",Elsevier B.V.,01681699,"<a href=""https://www.scimagojr.com/journalsearch.php?q=30441&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=30441"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Computers and Geotechnics,journal,1.725,Q1,131,8678,https://www.scimagojr.com/journalsearch.php?q=18163&tip=sid&clean=0,"United Kingdom,banderas/gb.png?v=1.2","{'Computer Science': ['Computer Science Applications'], 'Earth and Planetary Sciences': ['Geotechnical Engineering and Engineering Geology']}",Elsevier B.V.,"0266352X, 18737633","<a href=""https://www.scimagojr.com/journalsearch.php?q=18163&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=18163"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Computer Standards and Interfaces,journal,1.698,Q1,76,869,https://www.scimagojr.com/journalsearch.php?q=24303&tip=sid&clean=0,"Netherlands,banderas/nl.png?v=1.2","{'Computer Science': ['Computer Science Applications', 'Hardware and Architecture', 'Software'], 'Social Sciences': ['Law']}",Elsevier B.V.,09205489,"<a href=""https://www.scimagojr.com/journalsearch.php?q=24303&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=24303"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Journal of Computers in Education,journal,1.696,Q1,23,725,https://www.scimagojr.com/journalsearch.php?q=21100922758&tip=sid&clean=0,"Germany,banderas/de.png?v=1.2","{'Computer Science': ['Computer Science Applications'], 'Social Sciences': ['Education']}",Springer Berlin,"21979987, 21979995","<a href=""https://www.scimagojr.com/journalsearch.php?q=21100922758&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100922758"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Social Science Computer Review,journal,1.695,Q1,91,1357,https://www.scimagojr.com/journalsearch.php?q=18916&tip=sid&clean=0,"United States,banderas/us.png?v=1.2","{'Computer Science': ['Computer Science Applications'], 'Social Sciences': ['Law', 'Library and Information Sciences', 'Social Sciences (miscellaneous)']}",SAGE Publications Inc.,"08944393, 15528286","<a href=""https://www.scimagojr.com/journalsearch.php?q=18916&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=18916"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Machine Intelligence Research,journal,1.681,Q1,11,237,https://www.scimagojr.com/journalsearch.php?q=21101072017&tip=sid&clean=0,"China,banderas/cn.png?v=1.2","{'Computer Science': ['Artificial Intelligence', 'Computer Networks and Communications', 'Computer Science Applications', 'Computer Vision and Pattern Recognition', 'Signal Processing'], 'Engineering': ['Control and Systems Engineering'], 'Mathematics': ['Applied Mathematics', 'Modeling and Simulation']}",Chinese Academy of Sciences,"2731538X, 27315398","<a href=""https://www.scimagojr.com/journalsearch.php?q=21101072017&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21101072017"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Journal of Computational Physics,journal,1.679,Q1,288,9485,https://www.scimagojr.com/journalsearch.php?q=13191&tip=sid&clean=0,"United States,banderas/us.png?v=1.2","{'Computer Science': ['Computer Science Applications'], 'Mathematics': ['Applied Mathematics', 'Computational Mathematics', 'Modeling and Simulation', 'Numerical Analysis'], 'Physics and Astronomy': ['Physics and Astronomy (miscellaneous)']}",Academic Press Inc.,"00219991, 10902716","<a href=""https://www.scimagojr.com/journalsearch.php?q=13191&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=13191"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Current Opinion in Systems Biology,journal,1.676,Q1,34,455,https://www.scimagojr.com/journalsearch.php?q=21100857212&tip=sid&clean=0,"United Kingdom,banderas/gb.png?v=1.2","{'Biochemistry, Genetics and Molecular Biology': ['Biochemistry, Genetics and Molecular Biology (miscellaneous)'], 'Computer Science': ['Computer Science Applications'], 'Mathematics': ['Applied Mathematics', 'Modeling and Simulation'], 'Pharmacology, Toxicology and Pharmaceutics': ['Drug Discovery']}",Elsevier Ltd,24523100,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21100857212&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100857212"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Electronic Markets,journal,1.671,Q1,57,2296,https://www.scimagojr.com/journalsearch.php?q=19600157911&tip=sid&clean=0,"Germany,banderas/de.png?v=1.2","{'Business, Management and Accounting': ['Business and International Management', 'Management of Technology and Innovation', 'Marketing'], 'Computer Science': ['Computer Science Applications'], 'Economics, Econometrics and Finance': ['Economics and Econometrics']}",Springer Verlag,"10196781, 14228890","<a href=""https://www.scimagojr.com/journalsearch.php?q=19600157911&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=19600157911"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Journal of Healthcare Informatics Research,journal,1.664,Q1,17,532,https://www.scimagojr.com/journalsearch.php?q=21101017498&tip=sid&clean=0,"Switzerland,banderas/ch.png?v=1.2","{'Computer Science': ['Artificial Intelligence', 'Computer Science Applications', 'Information Systems'], 'Medicine': ['Health Informatics']}",Springer International Publishing,2509498X,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21101017498&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21101017498"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Internet of Things (Netherlands),journal,1.642,Q1,52,3465,https://www.scimagojr.com/journalsearch.php?q=21101058910&tip=sid&clean=0,"Netherlands,banderas/nl.png?v=1.2","{'Business, Management and Accounting': ['Management of Technology and Innovation'], 'Computer Science': ['Artificial Intelligence', 'Computer Science Applications', 'Computer Science (miscellaneous)', 'Hardware and Architecture', 'Information Systems', 'Software'], 'Engineering': ['Engineering (miscellaneous)']}",Elsevier B.V.,25426605,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21101058910&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21101058910"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
mSystems,journal,1.642,Q1,76,6102,https://www.scimagojr.com/journalsearch.php?q=21100850723&tip=sid&clean=0,"United States,banderas/us.png?v=1.2","{'Agricultural and Biological Sciences': ['Ecology, Evolution, Behavior and Systematics'], 'Biochemistry, Genetics and Molecular Biology': ['Biochemistry', 'Genetics', 'Molecular Biology', 'Physiology'], 'Computer Science': ['Computer Science Applications'], 'Immunology and Microbiology': ['Microbiology'], 'Mathematics': ['Modeling and Simulation']}",American Society for Microbiology,23795077,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21100850723&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100850723"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Sustainable Operations and Computers,journal,1.628,Q1,18,839,https://www.scimagojr.com/journalsearch.php?q=21101107945&tip=sid&clean=0,"China,banderas/cn.png?v=1.2","{'Computer Science': ['Computer Science Applications'], 'Decision Sciences': ['Management Science and Operations Research'], 'Energy': ['Renewable Energy, Sustainability and the Environment'], 'Engineering': ['Industrial and Manufacturing Engineering'], 'Environmental Science': ['Global and Planetary Change']}",KeAi Communications Co.,26664127,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21101107945&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21101107945"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
IEEE Transactions on Information Theory,journal,1.607,Q1,292,4039,https://www.scimagojr.com/journalsearch.php?q=15107&tip=sid&clean=0,"United States,banderas/us.png?v=1.2","{'Computer Science': ['Computer Science Applications', 'Information Systems'], 'Social Sciences': ['Library and Information Sciences']}",Institute of Electrical and Electronics Engineers Inc.,"00189448, 15579654","<a href=""https://www.scimagojr.com/journalsearch.php?q=15107&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=15107"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Mechanism and Machine Theory,journal,1.601,Q1,130,6152,https://www.scimagojr.com/journalsearch.php?q=21094&tip=sid&clean=0,"United Kingdom,banderas/gb.png?v=1.2","{'Chemical Engineering': ['Bioengineering'], 'Computer Science': ['Computer Science Applications'], 'Engineering': ['Mechanical Engineering', 'Mechanics of Materials']}",Elsevier Ltd,0094114X,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21094&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21094"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Information Systems Management,journal,1.598,Q1,67,692,https://www.scimagojr.com/journalsearch.php?q=15442&tip=sid&clean=0,"United Kingdom,banderas/gb.png?v=1.2","{'Computer Science': ['Computer Science Applications', 'Information Systems'], 'Social Sciences': ['Library and Information Sciences']}",Taylor and Francis Ltd.,10580530,"<a href=""https://www.scimagojr.com/journalsearch.php?q=15442&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=15442"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Journal of Materials Processing Technology,journal,1.579,Q1,228,8658,https://www.scimagojr.com/journalsearch.php?q=20972&tip=sid&clean=0,"Netherlands,banderas/nl.png?v=1.2","{'Computer Science': ['Computer Science Applications'], 'Engineering': ['Industrial and Manufacturing Engineering'], 'Materials Science': ['Ceramics and Composites', 'Metals and Alloys'], 'Mathematics': ['Modeling and Simulation']}",Elsevier B.V.,"09240136, 18734774","<a href=""https://www.scimagojr.com/journalsearch.php?q=20972&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=20972"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Control Engineering Practice,journal,1.576,Q1,135,3464,https://www.scimagojr.com/journalsearch.php?q=18174&tip=sid&clean=0,"United Kingdom,banderas/gb.png?v=1.2","{'Computer Science': ['Computer Science Applications'], 'Engineering': ['Control and Systems Engineering', 'Electrical and Electronic Engineering'], 'Mathematics': ['Applied Mathematics']}",Elsevier Ltd,09670661,"<a href=""https://www.scimagojr.com/journalsearch.php?q=18174&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=18174"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Network Neuroscience,journal,1.574,Q1,31,512,https://www.scimagojr.com/journalsearch.php?q=21100940460&tip=sid&clean=0,"United States,banderas/us.png?v=1.2","{'Computer Science': ['Artificial Intelligence', 'Computer Science Applications'], 'Mathematics': ['Applied Mathematics'], 'Neuroscience': ['Neuroscience (miscellaneous)']}",MIT Press Journals,24721751,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21100940460&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100940460"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
IEEE Transactions on Emerging Topics in Computing,journal,1.573,Q1,61,2213,https://www.scimagojr.com/journalsearch.php?q=21100338508&tip=sid&clean=0,"United States,banderas/us.png?v=1.2","{'Computer Science': ['Computer Science Applications', 'Computer Science (miscellaneous)', 'Human-Computer Interaction', 'Information Systems']}",IEEE Computer Society,21686750,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21100338508&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100338508"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Smart Learning Environments,journal,1.573,Q1,31,1175,https://www.scimagojr.com/journalsearch.php?q=21100981101&tip=sid&clean=0,"United Kingdom,banderas/gb.png?v=1.2","{'Computer Science': ['Computer Science Applications'], 'Social Sciences': ['Education']}",SpringerOpen,21967091,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21100981101&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100981101"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
ISA Transactions,journal,1.572,Q1,109,10409,https://www.scimagojr.com/journalsearch.php?q=29805&tip=sid&clean=0,"United States,banderas/us.png?v=1.2","{'Computer Science': ['Computer Science Applications'], 'Engineering': ['Control and Systems Engineering', 'Electrical and Electronic Engineering'], 'Mathematics': ['Applied Mathematics'], 'Physics and Astronomy': ['Instrumentation']}","ISA - Instrumentation, Systems, and Automation Society",00190578,"<a href=""https://www.scimagojr.com/journalsearch.php?q=29805&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=29805"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Railway Engineering Science,journal,1.563,Q1,33,601,https://www.scimagojr.com/journalsearch.php?q=21100979265&tip=sid&clean=0,"Singapore,banderas/sg.png?v=1.2","{'Computer Science': ['Computer Science Applications'], 'Engineering': ['Computational Mechanics', 'Electrical and Electronic Engineering', 'Mechanical Engineering'], 'Social Sciences': ['Transportation']}",Springer,"26624745, 26624753","<a href=""https://www.scimagojr.com/journalsearch.php?q=21100979265&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100979265"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
"IEEE Transactions on Biometrics, Behavior, and Identity Science",journal,1.560,Q1,24,823,https://www.scimagojr.com/journalsearch.php?q=21101070922&tip=sid&clean=0,"United States,banderas/us.png?v=1.2","{'Computer Science': ['Artificial Intelligence', 'Computer Science Applications', 'Computer Vision and Pattern Recognition'], 'Physics and Astronomy': ['Instrumentation']}",Institute of Electrical and Electronics Engineers Inc.,26376407,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21101070922&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21101070922"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Journal of Learning Analytics,journal,1.496,Q1,22,381,https://www.scimagojr.com/journalsearch.php?q=21100932472&tip=sid&clean=0,"Australia,banderas/au.png?v=1.2","{'Computer Science': ['Computer Science Applications'], 'Social Sciences': ['Education']}",UTS ePRESS,19297750,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21100932472&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100932472"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
IEEE Transactions on Learning Technologies,journal,1.493,Q1,62,1038,https://www.scimagojr.com/journalsearch.php?q=19700167026&tip=sid&clean=0,"United States,banderas/us.png?v=1.2","{'Computer Science': ['Computer Science Applications'], 'Engineering': ['Engineering (miscellaneous)'], 'Social Sciences': ['Education', 'E-learning']}",Institute of Electrical and Electronics Engineers Inc.,19391382,"<a href=""https://www.scimagojr.com/journalsearch.php?q=19700167026&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=19700167026"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
ReCALL,journal,1.493,Q1,67,391,https://www.scimagojr.com/journalsearch.php?q=5800207673&tip=sid&clean=0,"United Kingdom,banderas/gb.png?v=1.2","{'Computer Science': ['Computer Science Applications'], 'Social Sciences': ['Education', 'Linguistics and Language']}",Cambridge University Press,09583440,"<a href=""https://www.scimagojr.com/journalsearch.php?q=5800207673&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=5800207673"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Journal of Environmental Informatics,journal,1.491,Q1,37,359,https://www.scimagojr.com/journalsearch.php?q=7000153205&tip=sid&clean=0,"Canada,banderas/ca.png?v=1.2","{'Computer Science': ['Computer Science Applications'], 'Decision Sciences': ['Decision Sciences (miscellaneous)'], 'Environmental Science': ['Environmental Science (miscellaneous)']}",International Society for Environmental Information Sciences,"16848799, 17262135","<a href=""https://www.scimagojr.com/journalsearch.php?q=7000153205&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=7000153205"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
ACM Transactions on Computing for Healthcare,journal,1.490,Q1,16,719,https://www.scimagojr.com/journalsearch.php?q=21101079108&tip=sid&clean=0,"United States,banderas/us.png?v=1.2","{'Computer Science': ['Computer Science Applications', 'Information Systems', 'Software'], 'Engineering': ['Biomedical Engineering'], 'Health Professions': ['Health Information Management'], 'Medicine': ['Health Informatics', 'Medicine (miscellaneous)']}",Association for Computing Machinery (ACM),"26378051, 26911957","<a href=""https://www.scimagojr.com/journalsearch.php?q=21101079108&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21101079108"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Computational and Structural Biotechnology Journal,journal,1.485,Q1,79,7907,https://www.scimagojr.com/journalsearch.php?q=21100318415&tip=sid&clean=0,"Sweden,banderas/se.png?v=1.2","{'Biochemistry, Genetics and Molecular Biology': ['Biochemistry', 'Biophysics', 'Biotechnology', 'Genetics', 'Structural Biology'], 'Computer Science': ['Computer Science Applications']}",Elsevier B.V.,20010370,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21100318415&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100318415"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Computers in Biology and Medicine,journal,1.481,Q1,125,20035,https://www.scimagojr.com/journalsearch.php?q=17957&tip=sid&clean=0,"United Kingdom,banderas/gb.png?v=1.2","{'Computer Science': ['Computer Science Applications'], 'Medicine': ['Health Informatics']}",Elsevier Ltd,"00104825, 18790534","<a href=""https://www.scimagojr.com/journalsearch.php?q=17957&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=17957"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
IEEE Transactions on Cloud Computing,journal,1.457,Q1,66,2388,https://www.scimagojr.com/journalsearch.php?q=21100338351&tip=sid&clean=0,"United States,banderas/us.png?v=1.2","{'Computer Science': ['Computer Networks and Communications', 'Computer Science Applications', 'Hardware and Architecture', 'Information Systems', 'Software']}",Institute of Electrical and Electronics Engineers Inc.,21687161,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21100338351&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100338351"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Journal of Chemical Theory and Computation,journal,1.457,Q1,222,10958,https://www.scimagojr.com/journalsearch.php?q=5100155074&tip=sid&clean=0,"United States,banderas/us.png?v=1.2","{'Chemistry': ['Physical and Theoretical Chemistry'], 'Computer Science': ['Computer Science Applications']}",American Chemical Society,"15499618, 15499626","<a href=""https://www.scimagojr.com/journalsearch.php?q=5100155074&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=5100155074"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Blockchain: Research and Applications,journal,1.454,Q1,16,696,https://www.scimagojr.com/journalsearch.php?q=21101101317&tip=sid&clean=0,"China,banderas/cn.png?v=1.2","{'Computer Science': ['Computer Networks and Communications', 'Computer Science Applications', 'Information Systems']}",Zhejiang University,"20967209, 26669536","<a href=""https://www.scimagojr.com/journalsearch.php?q=21101101317&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21101101317"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Artificial Intelligence in Agriculture,journal,1.453,Q1,18,863,https://www.scimagojr.com/journalsearch.php?q=21101042196&tip=sid&clean=0,"China,banderas/cn.png?v=1.2","{'Agricultural and Biological Sciences': ['Agricultural and Biological Sciences (miscellaneous)'], 'Computer Science': ['Artificial Intelligence', 'Computer Science Applications', 'Computer Science (miscellaneous)'], 'Engineering': ['Engineering (miscellaneous)']}",KeAi Communications Co.,25897217,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21101042196&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21101042196"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
IEEE Robotics and Automation Magazine,journal,1.453,Q1,104,770,https://www.scimagojr.com/journalsearch.php?q=18027&tip=sid&clean=0,"United States,banderas/us.png?v=1.2","{'Computer Science': ['Computer Science Applications'], 'Engineering': ['Control and Systems Engineering', 'Electrical and Electronic Engineering']}",Institute of Electrical and Electronics Engineers Inc.,10709932,"<a href=""https://www.scimagojr.com/journalsearch.php?q=18027&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=18027"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
IEEE Transactions on Computational Imaging,journal,1.453,Q1,38,1366,https://www.scimagojr.com/journalsearch.php?q=21100854164&tip=sid&clean=0,"United States,banderas/us.png?v=1.2","{'Computer Science': ['Computer Science Applications', 'Signal Processing'], 'Mathematics': ['Computational Mathematics']}",Institute of Electrical and Electronics Engineers Inc.,23339403,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21100854164&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21100854164"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
"Cyberpsychology, Behavior, and Social Networking",journal,1.436,Q1,180,2479,https://www.scimagojr.com/journalsearch.php?q=19700176047&tip=sid&clean=0,"United States,banderas/us.png?v=1.2","{'Computer Science': ['Computer Science Applications', 'Human-Computer Interaction'], 'Medicine': ['Medicine (miscellaneous)'], 'Psychology': ['Applied Psychology', 'Social Psychology'], 'Social Sciences': ['Communication']}",Mary Ann Liebert Inc.,"21522715, 21522723","<a href=""https://www.scimagojr.com/journalsearch.php?q=19700176047&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=19700176047"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Journal of Cryptology,journal,1.433,Q1,84,490,https://www.scimagojr.com/journalsearch.php?q=23871&tip=sid&clean=0,"United States,banderas/us.png?v=1.2","{'Computer Science': ['Computer Science Applications', 'Software'], 'Mathematics': ['Applied Mathematics']}",Springer New York,"09332790, 14321378","<a href=""https://www.scimagojr.com/journalsearch.php?q=23871&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=23871"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Data Science and Management,journal,1.432,Q1,13,405,https://www.scimagojr.com/journalsearch.php?q=21101092534&tip=sid&clean=0,"China,banderas/cn.png?v=1.2","{'Business, Management and Accounting': ['Management Information Systems'], 'Computer Science': ['Artificial Intelligence', 'Computer Science Applications', 'Information Systems'], 'Decision Sciences': ['Information Systems and Management', 'Management Science and Operations Research']}",KeAi Communications Co.,26667649,"<a href=""https://www.scimagojr.com/journalsearch.php?q=21101092534&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21101092534"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
Granular Computing,journal,1.415,Q1,46,1275,https://www.scimagojr.com/journalsearch.php?q=21101048344&tip=sid&clean=0,"Switzerland,banderas/ch.png?v=1.2","{'Computer Science': ['Artificial Intelligence', 'Computer Science Applications', 'Information Systems']}",Springer International Publishing,"23644966, 23644974","<a href=""https://www.scimagojr.com/journalsearch.php?q=21101048344&amp;tip=sid&amp;exact=no"" title=""SCImago Journal &amp; Country Rank""><img border=""0"" src=""https://www.scimagojr.com/journal_img.php?id=21101048344"" alt=""SCImago Journal &amp; Country Rank""  /></a>"
